w1	w2	label	prediction
phone	neck	phoneck	phock
bozo	ozone	bozone	boone
ambitious	bitch	ambitchous	ambitioush
female	android	feminoid	feandroid
medical	healthcare	medicare	medicalcare
facebook	facelift	facebooklift	facebookift
drunk	munchies	drunchies	drunchies
green	whitewash	greenwash	greenwash
fucking	drunk	fucrunk	fuckingk
mobile	weblog	moblog	mobillog
negro	negotiation	negrotiation	negotiation
tweet	sweetheart	tweetheart	tweetheart
course	software	courseware	courtware
magnesium	ferric	mafic	magneerric
disturb	suburbia	disturbia	distburbia
proactive	responsive	pronsponsive	proresponsive
roger	economics	rogernomics	reconomics
vital	amine	vitamin	vitale
skin	intimidate	skintimidate	stimidate
sarcasm	chasm	sarchasm	sarchasm
cybernetic	organism	cyborg	cyberneanism
whine	rhino	whino	whineno
volumetric	pixel	voxel	volumetrel
newt	momentum	newtmentum	nomentum
cash	castration	cashtration	castration
woman	romance	womance	woomance
ebony	phonics	ebonics	ephonics
bard	idolatry	bardolatry	barlatry
calcium	gone	calgon	calcone
shark	octopus	sharktopus	sharopus
procastination	productivity	procastivity	procasproductivity
singapore	english	singlish	singanglish
prom	proposal	promposal	proposal
cat	mouse	meowse	case
deformed	afflicted	deflicted	deformected
maddening	infuriating	maddenating	maddeniriating
java	python	jython	jathon
pass	asshole	passhole	passole
transmitter	receiver	transceiver	transmitterer
insinuation	innuendo	insinuendo	insinuatuendo
plastic	yarn	plarn	plastin
subliminal	tweet	subtweet	subliminalt
stupid	studious	stupious	stupidous
chin	underwear	chinderwear	chierwear
accountable	cunt	accuntable	accountant
brahmin	angus	brangus	braangus
sofa	ass	sofass	sos
condensation	trail	contrail	condenstrail
robert	kristen	robsten	robersten
family	computer	famicom	familuter
naruto	retard	narutard	naretard
texas	exodus	texodus	texodus
advertisement	blasting	advertblasting	advertisementing
frankenstein	word	frankenword	frankensteid
spokesperson	blogger	spokesblogger	spokesblogger
declarative	exclamatory	declamatory	declarativatory
slut	president	slutsident	spresident
volunteer	town	voluntown	voluntown
tan	anorexia	tanorexia	tanexia
sex	accident	sexcident	secident
spoon	knife	spife	spoone
ninja	injun	ninjun	ninjan
offensive	sieve	offensieve	offensive
satisfactory	suffice	satisfice	satisfactorice
fraternity	satire	fratire	frateratire
retard	dumbass	tardass	retambass
oblivious	android	oblividroid	obliandroid
list	article	listicle	liticle
analyst	therapist	analrapist	antherapist
cheap	cappucciono	cheappuccino	chepucciono
smudge	estimate	smudgemate	sestimate
spam	robot	spambot	sobot
helicopter	skiing	heliskiing	helicopting
global	local	glocal	globall
governor	terminator	governator	governinator
stalker	paperazzi	stalkerazzi	stalkerazzi
twin	incest	twincest	twinst
phone	frustrated	phonestrated	phonerated
famicom	clone	famiclone	familone
jagermeister	bomb	jagerbomb	jagermeisterb
google	amazon	googlezon	googleon
blog	book	blook	book
lion	tiger	liger	liger
cramer	america	cramerica	cramerica
bark	parkour	barkour	barkour
terra	terrorist	terrist	terrorist
fruit	atomic	fruitomic	fruitic
zebra	donkey	zedonk	zebraey
homosexual	comintern	homintern	homosexuatern
automotive	atrocity	autotrocity	automoticity
internet	citizen	netizen	interneten
bridge	router	brouter	bridgeter
chopstick	fork	chork	chopstick
imagination	engineering	imagineering	imaginationering
zebra	donkey	zeedonk	zebraey
wonka	elevator	wonkavator	welevator
night	netflix	niteflix	nightlix
excuse	squeeze	exsqueeze	excuseeze
yank	handshake	yankshake	yandshake
cinema	paradigm	cinedigm	cineadigm
wireless	fidelity	wifi	wirelessity
chest	testicle	chesticle	chesticle
afghanistan	pakistan	afpak	afghanistanan
fabulous	sexual	fabulosexual	fabuloual
tactical	turtleneck	tactleneck	tacticaleneck
but	actually	bactually	butally
net	etiquette	netiquette	niquette
imagine	engineering	imagineering	imagineering
alternative	right	altright	alternaight
cable	telegram	cablegram	cablegram
kiss	caress	kissess	kissess
murky	marketing	murketing	marketing
fun	animation	funimation	funation
script	document	scriptment	scriptent
financial	pinnacle	finacle	financialle
facebook	hack	facehack	faceback
boxing	exercise	boxercise	boxingise
phonetics	lexicon	phonicon	phoneticson
labrador	poodle	labradoodle	labradore
fruit	fusion	frusion	fruiton
chicago	milwaukee	chiwaukee	chicawaukee
jesus	centric	jesucentric	jeentric
disgust	discussion	disgussion	disiscussion
religion	ridiculous	religulous	religioulous
pirate	attitude	pirattitude	pattitude
bash	hashtag	bashtag	bashtag
click	link	clink	clink
light	radar	lidar	lighar
gay	marriage	garriage	garriage
chilling	relaxing	chillaxing	chillinging
liberal	retard	libtard	libertard
gay	addiction	gaddiction	gayction
kate	ziva	kiva	kata
jeans	shorts	jorts	jeanorts
hunger	angry	hangry	hungery
cuckold	conservative	cuckservative	cconservative
miller	lux	millux	millex
provocative	whore	provacawhoritive	provocative
hater	gatorade	hatorade	haterrade
fanatic	kingdom	fandom	faningdom
television	broadcast	telecast	televisionast
literature	sewer	literasewer	literaturr
monte	rey	monterey	money
plastic	leather	pleather	plasather
glamorous	camping	glamping	glamorouing
advertisement	entertainment	advertainment	advertisertainment
sonus	sonny	sony	soonny
