"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.word11","Input.word12","Input.opt11","Input.opt12","Input.q1","Input.word21","Input.word22","Input.opt21","Input.opt22","Input.q2","Input.word31","Input.word32","Input.opt31","Input.opt32","Input.q3","Input.word41","Input.word42","Input.opt41","Input.opt42","Input.q4","Input.word51","Input.word52","Input.opt51","Input.opt52","Input.q5","Input.word61","Input.word62","Input.opt61","Input.opt62","Input.q6","Answer.0","Answer.1","Answer.10","Answer.11","Answer.12","Answer.13","Answer.14","Answer.15","Answer.16","Answer.17","Answer.18","Answer.19","Answer.2","Answer.20","Answer.21","Answer.22","Answer.23","Answer.24","Answer.25","Answer.26","Answer.27","Answer.28","Answer.29","Answer.3","Answer.30","Answer.31","Answer.32","Answer.33","Answer.34","Answer.35","Answer.36","Answer.37","Answer.38","Answer.39","Answer.4","Answer.40","Answer.41","Answer.42","Answer.43","Answer.44","Answer.45","Answer.46","Answer.47","Answer.48","Answer.49","Answer.5","Answer.50","Answer.51","Answer.52","Answer.53","Answer.54","Answer.55","Answer.56","Answer.57","Answer.58","Answer.59","Answer.6","Answer.7","Answer.8","Answer.9","Approve","Reject"
"34O39PNDK6WRE5CV8GV8WH7NGAWRBH","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:46 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:46 PDT 2017","","","386CSBG1O0ANJCDUPDU15V791CV6Q3","A1C59M3HPCO503","Submitted","Mon Apr 03 13:58:27 PDT 2017","Mon Apr 03 13:59:43 PDT 2017","Thu Apr 06 13:59:43 PDT 2017","","","","76","0% (0/0)","0% (0/0)","0% (0/0)","gob","blob","goblob","gobb","0","juggernaut","snot","juggernot","juot","1","methyl","alcohol","methyhol","malcohol","2","pop","fantasy","pantasy","pontasy","3","integrated","electronics","integronics","intelectronics","4","frosty","spoon","fron","fpoon","5","1","1","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","",""
"3D7VY91L65L0HPZ338ZRAIDDANXMBO","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:46 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:46 PDT 2017","","","3R2UR8A0IB4XHFKABNBNG3PTJFCOX7","AJACXA5FC5BYZ","Submitted","Mon Apr 03 13:58:23 PDT 2017","Mon Apr 03 13:59:25 PDT 2017","Thu Apr 06 13:59:25 PDT 2017","","","","62","0% (0/0)","0% (0/0)","0% (0/0)","play","software","ploftware","plare","6","liberal","retard","liberetard","libertard","7","cybernetics","organism","cyberganism","cybernism","8","catastrophe","cacaphony","catastrophony","catacaphony","9","google","doppelganger","googlanger","googlganger","10","narcotic","terrorism","narerrorism","narcoterrorism","11","","","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","3","3"
"38LRF35D5LKER20ZXHB7J9WVZHNU3X","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:46 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:46 PDT 2017","","","3SPJ033422R8G9JN065KRLFGMRWJYP","A313JEGCVV2UES","Submitted","Mon Apr 03 14:04:34 PDT 2017","Mon Apr 03 14:05:38 PDT 2017","Thu Apr 06 14:05:38 PDT 2017","","","","64","0% (0/0)","0% (0/0)","0% (0/0)","documentary","commercial","doccial","documercial","12","kinetic","connection","kinection","kinnection","13","man","vagina","mana","magina","14","robert","kristen","robristen","roben","15","newt","momentum","nentum","newtum","16","talk","cartoon","talcartoon","talkoon","17","","","","","4","3","4","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UAU495MIIG3DRTLGFVZ7CU6U8JOUM","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:46 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:46 PDT 2017","","","39KFRKBFIOJMHKAKGJXPZHW2LL6OYD","AC5UD8N187QD6","Submitted","Mon Apr 03 13:58:25 PDT 2017","Mon Apr 03 13:59:34 PDT 2017","Thu Apr 06 13:59:34 PDT 2017","","","","69","0% (0/0)","0% (0/0)","0% (0/0)","finitely","many","finany","finy","18","heterosexual","normativity","hetivity","hetermativity","19","platform","publisher","platfoblisher","plisher","20","web","broadcast","weadcast","webcast","21","clown","president","clownt","closident","22","winchester","barkhamsted","winchested","winbarkhamsted","23","","","","","","","","","","","2","4","","1","4","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3JTPR5MTZS032LIRHMVYSJLHBMGK5G","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:46 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:46 PDT 2017","","","35LDD5557BS3XC0RZOHLY5SMS6IMK1","A1ZB2NY0F9QNP0","Submitted","Mon Apr 03 13:58:23 PDT 2017","Mon Apr 03 13:59:51 PDT 2017","Thu Apr 06 13:59:51 PDT 2017","","","","88","0% (0/0)","0% (0/0)","0% (0/0)","waitress","actress","waitractress","waictress","24","female","dominance","femominance","feminance","25","situational","comedy","situatiomedy","sitomedy","26","crisis","opportunity","crisitunity","crisisty","27","peasant","television","peasevision","pelevision","28","geospatial","enablement","geosablement","geospablement","29","","","","","","","","","","","","","","","","","","4","3","2","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XDJY5RK5S9Z9YJ3XVGQTEO1DHJU4I","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:47 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:47 PDT 2017","","","3YGXWBAF7155AOZX170ROSYE16OC4J","A4J4GGMKJ68L0","Submitted","Mon Apr 03 13:58:22 PDT 2017","Mon Apr 03 13:59:56 PDT 2017","Thu Apr 06 13:59:56 PDT 2017","","","","94","0% (0/0)","0% (0/0)","0% (0/0)","man","explaining","maning","manxplaining","30","knife","fork","knifork","knifk","31","terra","terrorist","terorist","terrarist","32","crisis","opportunity","crisitunity","crisisty","33","beautiful","delicious","beauticious","beautifulicious","34","yesterday","decade","yesterdade","yestecade","35","","","","","","","","","","","","","","","","","","","","","","","","","4","3","1","3","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BCRDCM0ODIZLPI5M553KPZH7HRK6W","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:47 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:47 PDT 2017","","","3R5F3LQFV38MMAKPC5Z8DO54RFAOZ4","AMWIBULQ4S8K3","Submitted","Mon Apr 03 13:58:30 PDT 2017","Mon Apr 03 13:59:42 PDT 2017","Thu Apr 06 13:59:42 PDT 2017","","","","72","0% (0/0)","0% (0/0)","0% (0/0)","shirt","sweater","sheater","shirter","36","absolutely","ridiculous","absiculous","absolus","37","documentary","commercial","doccial","documercial","38","sparkle","vampire","spire","sparkpire","39","awkward","sauce","awkwarsauce","awke","40","kleptocrat","king","klepting","kking","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","4","2","","3","1","","","","","","","","","","","","","","","","","","","","","","",""
"3909MD9T2Z5SIIJ6RCX4G0ZPGJYFEA","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:47 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:47 PDT 2017","","","3DOCMVPBTO2AN06U82O13CYQRRXNN7","A2MKXI4KCRRI7Y","Submitted","Mon Apr 03 14:05:22 PDT 2017","Mon Apr 03 14:08:24 PDT 2017","Thu Apr 06 14:08:24 PDT 2017","","","","182","0% (0/0)","0% (0/0)","0% (0/0)","biography","picture","biographicture","bicture","42","japanese","english","japaneseh","japlish","43","online","loneliness","oneliness","onliness","44","aforementioned","texted","aforemed","afexted","45","electronic","penis","electronics","electronis","46","ecology","sabotage","ecobotage","ecolotage","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","3","2","3","2","","","","","","","","","","","","","","","","",""
"37OPIVELUUR961T06XJIN2LBBJDAH8","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:47 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:47 PDT 2017","","","3Q8GYXHFEQQN673XFCJ1TK4S12JC5O","A2541C8MY0BYV3","Submitted","Mon Apr 03 13:58:25 PDT 2017","Mon Apr 03 13:59:17 PDT 2017","Thu Apr 06 13:59:17 PDT 2017","","","","52","0% (0/0)","0% (0/0)","0% (0/0)","cassette","single","cassingle","cassegle","48","beer","delicious","belicious","beericious","49","cyclohexane","excellent","cycellent","cyclohexcellent","50","afghanistan","pakistan","afghanistanistan","afghstan","51","view","browser","viewbrowser","vier","52","defensive","diss","defiss","defensiss","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","3","2","3","2","","","","","","","","","",""
"3BDORL6HKK1AOA41MGR371D5YVWRCO","30CYSFZVFTR6NWPOC1MV3LZRUQN0O4","Answer a survey about quality of word combinations","We want to check quality of words generated by blending of existing English words","survey, language, creative","$0.50","Mon Apr 03 13:56:47 PDT 2017","1","BatchId:2751019;OriginalHitTemplateId:920937332;","360","259200","Mon Apr 10 13:56:47 PDT 2017","","","3M68NM076IVNVDSU2SJ1ALHEXYX6R4","A15FXHC1CVNW31","Submitted","Mon Apr 03 13:58:27 PDT 2017","Mon Apr 03 13:59:26 PDT 2017","Thu Apr 06 13:59:26 PDT 2017","","","","59","0% (0/0)","0% (0/0)","0% (0/0)","meh","mathematician","matician","meathematician","54","cockblock","apocalypse","cocalypse","cockocalypse","55","quasistellar","star","quasistar","quastar","56","blog","diary","bdiary","bloary","57","metropolitan","heterosexual","meosexual","metrosexual","58","cartoon","tsunami","cartoonami","cartonami","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","3","1","3","1","","","",""
